-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 02/10/2019 through 08/03/2019 in UTC
Location: Latitude  8.7052   Longitude -83.764 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 29.82 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
-END HEADER-
YEAR,MO,DY,HR,T2M,PRECTOTCORR
2019,2,10,0,30.18,0.0
2019,2,10,1,29.87,0.0
2019,2,10,2,29.43,0.0
2019,2,10,3,29.01,0.0
2019,2,10,4,28.64,0.0
2019,2,10,5,28.33,0.0
2019,2,10,6,28.08,0.0
2019,2,10,7,27.87,0.0
2019,2,10,8,27.7,0.0
2019,2,10,9,27.59,0.0
2019,2,10,10,27.56,0.0
2019,2,10,11,27.56,0.0
2019,2,10,12,27.76,0.0
2019,2,10,13,28.3,0.0
2019,2,10,14,28.93,0.0
2019,2,10,15,29.53,0.0
2019,2,10,16,29.96,0.0
2019,2,10,17,30.18,0.0
2019,2,10,18,30.25,0.0
2019,2,10,19,30.16,0.0
2019,2,10,20,29.97,0.0
2019,2,10,21,29.73,0.0
2019,2,10,22,29.49,0.0
2019,2,10,23,29.23,0.0
2019,2,11,0,29.04,0.0
2019,2,11,1,28.94,0.0
2019,2,11,2,28.92,0.0
2019,2,11,3,28.91,0.0
2019,2,11,4,28.84,0.0
2019,2,11,5,28.73,0.0
2019,2,11,6,28.6,0.01
2019,2,11,7,28.49,0.02
2019,2,11,8,28.41,0.02
2019,2,11,9,28.36,0.02
2019,2,11,10,28.35,0.01
2019,2,11,11,28.35,0.0
2019,2,11,12,28.48,0.0
2019,2,11,13,28.78,0.0
2019,2,11,14,29.27,0.0
2019,2,11,15,29.76,0.0
2019,2,11,16,30.09,0.0
2019,2,11,17,30.19,0.0
2019,2,11,18,30.13,0.0
2019,2,11,19,29.99,0.0
2019,2,11,20,29.82,0.0
2019,2,11,21,29.57,0.0
2019,2,11,22,29.26,0.02
2019,2,11,23,28.94,0.04
2019,2,12,0,28.71,0.05
2019,2,12,1,28.57,0.06
2019,2,12,2,28.43,0.05
2019,2,12,3,28.36,0.03
2019,2,12,4,28.31,0.01
2019,2,12,5,28.22,0.01
2019,2,12,6,28.1,0.03
2019,2,12,7,27.99,0.03
2019,2,12,8,27.88,0.04
2019,2,12,9,27.78,0.04
2019,2,12,10,27.71,0.03
2019,2,12,11,27.71,0.02
2019,2,12,12,27.85,0.01
2019,2,12,13,28.09,0.01
2019,2,12,14,28.43,0.01
2019,2,12,15,28.84,0.01
2019,2,12,16,29.2,0.01
2019,2,12,17,29.41,0.01
2019,2,12,18,29.53,0.01
2019,2,12,19,29.57,0.0
2019,2,12,20,29.48,0.01
2019,2,12,21,29.25,0.0
2019,2,12,22,28.9,0.02
2019,2,12,23,28.52,0.01
2019,2,13,0,28.22,0.07
2019,2,13,1,28.05,0.11
2019,2,13,2,27.95,0.15
2019,2,13,3,27.88,0.14
2019,2,13,4,27.84,0.13
2019,2,13,5,27.8,0.14
2019,2,13,6,27.76,0.18
2019,2,13,7,27.74,0.16
2019,2,13,8,27.72,0.14
2019,2,13,9,27.74,0.16
2019,2,13,10,27.77,0.16
2019,2,13,11,27.79,0.13
2019,2,13,12,27.92,0.1
2019,2,13,13,28.16,0.07
2019,2,13,14,28.43,0.07
2019,2,13,15,28.75,0.05
2019,2,13,16,29.15,0.02
2019,2,13,17,29.45,0.02
2019,2,13,18,29.53,0.01
2019,2,13,19,29.46,0.01
2019,2,13,20,29.27,0.01
2019,2,13,21,29.02,0.01
2019,2,13,22,28.81,0.02
2019,2,13,23,28.61,0.02
2019,2,14,0,28.49,0.02
2019,2,14,1,28.46,0.02
2019,2,14,2,28.51,0.01
2019,2,14,3,28.54,0.01
2019,2,14,4,28.53,0.02
2019,2,14,5,28.47,0.07
2019,2,14,6,28.36,0.12
2019,2,14,7,28.27,0.15
2019,2,14,8,28.18,0.15
2019,2,14,9,28.15,0.12
2019,2,14,10,28.18,0.09
2019,2,14,11,28.26,0.07
2019,2,14,12,28.46,0.05
2019,2,14,13,28.82,0.02
2019,2,14,14,29.36,0.01
2019,2,14,15,29.85,0.0
2019,2,14,16,30.23,0.0
2019,2,14,17,30.42,0.0
2019,2,14,18,30.44,0.0
2019,2,14,19,30.31,0.0
2019,2,14,20,30.12,0.0
2019,2,14,21,29.86,0.0
2019,2,14,22,29.53,0.0
2019,2,14,23,29.19,0.0
2019,2,15,0,28.99,0.0
2019,2,15,1,28.88,0.0
2019,2,15,2,28.81,0.0
2019,2,15,3,28.74,0.0
2019,2,15,4,28.65,0.0
2019,2,15,5,28.55,0.0
2019,2,15,6,28.41,0.0
2019,2,15,7,28.27,0.0
2019,2,15,8,28.16,0.0
2019,2,15,9,28.07,0.0
2019,2,15,10,28.01,0.0
2019,2,15,11,27.97,0.0
2019,2,15,12,28.04,0.0
2019,2,15,13,28.27,0.0
2019,2,15,14,28.59,0.0
2019,2,15,15,28.84,0.0
2019,2,15,16,29.03,0.0
2019,2,15,17,29.16,0.0
2019,2,15,18,29.19,0.0
2019,2,15,19,29.1,0.0
2019,2,15,20,28.92,0.0
2019,2,15,21,28.7,0.0
2019,2,15,22,28.47,0.0
2019,2,15,23,28.23,0.0
2019,2,16,0,28.08,0.0
2019,2,16,1,28.02,0.0
2019,2,16,2,27.99,0.0
2019,2,16,3,27.93,0.0
2019,2,16,4,27.85,0.0
2019,2,16,5,27.75,0.0
2019,2,16,6,27.62,0.0
2019,2,16,7,27.55,0.0
2019,2,16,8,27.5,0.0
2019,2,16,9,27.4,0.0
2019,2,16,10,27.27,0.0
2019,2,16,11,27.14,0.0
2019,2,16,12,27.11,0.0
2019,2,16,13,27.2,0.0
2019,2,16,14,27.46,0.0
2019,2,16,15,27.78,0.0
2019,2,16,16,28.2,0.0
2019,2,16,17,28.55,0.0
2019,2,16,18,28.73,0.0
2019,2,16,19,28.8,0.0
2019,2,16,20,28.78,0.0
2019,2,16,21,28.66,0.0
2019,2,16,22,28.45,0.0
2019,2,16,23,28.22,0.0
2019,2,17,0,28.08,0.0
2019,2,17,1,28.01,0.0
2019,2,17,2,27.94,0.0
2019,2,17,3,27.86,0.0
2019,2,17,4,27.78,0.0
2019,2,17,5,27.67,0.0
2019,2,17,6,27.56,0.0
2019,2,17,7,27.46,0.0
2019,2,17,8,27.41,0.0
2019,2,17,9,27.36,0.0
2019,2,17,10,27.31,0.0
2019,2,17,11,27.29,0.0
2019,2,17,12,27.34,0.0
2019,2,17,13,27.53,0.0
2019,2,17,14,27.85,0.0
2019,2,17,15,28.3,0.0
2019,2,17,16,28.73,0.0
2019,2,17,17,28.96,0.0
2019,2,17,18,29.03,0.0
2019,2,17,19,28.96,0.0
2019,2,17,20,28.85,0.0
2019,2,17,21,28.67,0.0
2019,2,17,22,28.47,0.0
2019,2,17,23,28.29,0.0
2019,2,18,0,28.19,0.0
2019,2,18,1,28.14,0.0
2019,2,18,2,28.12,0.0
2019,2,18,3,28.12,0.0
2019,2,18,4,28.09,0.0
2019,2,18,5,28.01,0.0
2019,2,18,6,27.9,0.0
2019,2,18,7,27.82,0.0
2019,2,18,8,27.74,0.0
2019,2,18,9,27.68,0.0
2019,2,18,10,27.63,0.0
2019,2,18,11,27.61,0.0
2019,2,18,12,27.71,0.0
2019,2,18,13,28.0,0.0
2019,2,18,14,28.48,0.0
2019,2,18,15,29.08,0.0
2019,2,18,16,29.56,0.0
2019,2,18,17,29.83,0.0
2019,2,18,18,29.94,0.0
2019,2,18,19,29.87,0.0
2019,2,18,20,29.71,0.0
2019,2,18,21,29.49,0.0
2019,2,18,22,29.28,0.0
2019,2,18,23,29.09,0.0
2019,2,19,0,29.0,0.0
2019,2,19,1,29.02,0.0
2019,2,19,2,29.05,0.0
2019,2,19,3,29.04,0.0
2019,2,19,4,28.98,0.0
2019,2,19,5,28.88,0.0
2019,2,19,6,28.71,0.0
2019,2,19,7,28.54,0.0
2019,2,19,8,28.36,0.0
2019,2,19,9,28.18,0.0
2019,2,19,10,28.0,0.0
2019,2,19,11,27.81,0.0
2019,2,19,12,27.82,0.0
2019,2,19,13,28.06,0.0
2019,2,19,14,28.53,0.0
2019,2,19,15,28.96,0.0
2019,2,19,16,29.32,0.0
2019,2,19,17,29.51,0.0
2019,2,19,18,29.48,0.0
2019,2,19,19,29.32,0.0
2019,2,19,20,29.08,0.0
2019,2,19,21,28.8,0.0
2019,2,19,22,28.5,0.0
2019,2,19,23,28.27,0.0
2019,2,20,0,28.14,1.7
2019,2,20,1,28.08,3.01
2019,2,20,2,27.95,4.37
2019,2,20,3,27.87,5.62
2019,2,20,4,27.87,7.43
2019,2,20,5,27.85,9.52
2019,2,20,6,27.81,12.91
2019,2,20,7,27.79,15.28
2019,2,20,8,27.78,18.7
2019,2,20,9,27.79,17.65
2019,2,20,10,27.83,16.48
2019,2,20,11,27.87,13.37
2019,2,20,12,28.07,10.4
2019,2,20,13,28.48,6.81
2019,2,20,14,28.94,4.09
2019,2,20,15,29.36,1.33
2019,2,20,16,29.64,0.26
2019,2,20,17,29.72,0.06
2019,2,20,18,29.67,0.03
2019,2,20,19,29.55,0.03
2019,2,20,20,29.39,0.02
2019,2,20,21,29.19,0.01
2019,2,20,22,28.97,0.02
2019,2,20,23,28.74,0.07
2019,2,21,0,28.58,0.08
2019,2,21,1,28.5,0.2
2019,2,21,2,28.44,0.24
2019,2,21,3,28.36,0.44
2019,2,21,4,28.28,0.55
2019,2,21,5,28.18,0.55
2019,2,21,6,28.08,0.78
2019,2,21,7,28.0,0.86
2019,2,21,8,27.94,0.78
2019,2,21,9,27.91,0.82
